alpha beta ele Cz
-20 -20 0 1.203
-15 -20 0 0.959
-10 -20 0 0.706
-5 -20 0 0.27
0 -20 0 -0.05
5 -20 0 -0.345
10 -20 0 -0.67
15 -20 0 -0.98
20 -20 0 -1.28
25 -20 0 -1.51
30 -20 0 -1.71
35 -20 0 -1.77
40 -20 0 -1.945
45 -20 0 -1.785
50 -20 0 -1.9
55 -20 0 -1.97
60 -20 0 -1.96
70 -20 0 -1.94
80 -20 0 -2.075
90 -20 0 -1.9
-20 -15 0 1.215
-15 -15 0 0.98
-10 -15 0 0.711
-5 -15 0 0.275
0 -15 0 -0.05
5 -15 0 -0.36
10 -15 0 -0.705
15 -15 0 -1.035
20 -15 0 -1.34
25 -15 0 -1.575
30 -15 0 -1.81
35 -15 0 -1.885
40 -15 0 -2.065
45 -15 0 -2
50 -15 0 -2.05
55 -15 0 -2.055
60 -15 0 -1.995
70 -15 0 -1.92
80 -15 0 -2.08
90 -15 0 -2.01
-20 -10 0 1.239
-15 -10 0 0.967
-10 -10 0 0.705
-5 -10 0 0.288
0 -10 0 -0.036
5 -10 0 -0.359
10 -10 0 -0.719
15 -10 0 -1.069
20 -10 0 -1.379
25 -10 0 -1.626
30 -10 0 -1.91
35 -10 0 -1.998
40 -10 0 -2.188
45 -10 0 -2.178
50 -10 0 -2.165
55 -10 0 -2.176
60 -10 0 -2.128
70 -10 0 -1.929
80 -10 0 -2.045
90 -10 0 -2.06
-20 -8 0 1.201
-15 -8 0 0.96
-10 -8 0 0.699
-5 -8 0 0.305
0 -8 0 -0.035
5 -8 0 -0.364
10 -8 0 -0.727
15 -8 0 -1.089
20 -8 0 -1.405
25 -8 0 -1.635
30 -8 0 -1.977
35 -8 0 -2.073
40 -8 0 -2.183
45 -8 0 -2.272
50 -8 0 -2.254
55 -8 0 -2.184
60 -8 0 -2.111
70 -8 0 -2.021
80 -8 0 -1.994
90 -8 0 -2.158
-20 -6 0 1.171
-15 -6 0 0.954
-10 -6 0 0.696
-5 -6 0 0.306
0 -6 0 -0.028
5 -6 0 -0.362
10 -6 0 -0.737
15 -6 0 -1.105
20 -6 0 -1.421
25 -6 0 -1.65
30 -6 0 -1.997
35 -6 0 -2.152
40 -6 0 -2.301
45 -6 0 -2.21
50 -6 0 -2.288
55 -6 0 -2.223
60 -6 0 -2.173
70 -6 0 -2.161
80 -6 0 -2.048
90 -6 0 -2.112
-20 -4 0 1.157
-15 -4 0 0.951
-10 -4 0 0.687
-5 -4 0 0.311
0 -4 0 -0.027
5 -4 0 -0.368
10 -4 0 -0.741
15 -4 0 -1.111
20 -4 0 -1.431
25 -4 0 -1.655
30 -4 0 -2.006
35 -4 0 -2.171
40 -4 0 -2.31
45 -4 0 -2.264
50 -4 0 -2.258
55 -4 0 -2.211
60 -4 0 -2.183
70 -4 0 -2.16
80 -4 0 -2.092
90 -4 0 -2.117
-20 -2 0 1.122
-15 -2 0 0.953
-10 -2 0 0.697
-5 -2 0 0.285
0 -2 0 -0.027
5 -2 0 -0.368
10 -2 0 -0.747
15 -2 0 -1.111
20 -2 0 -1.422
25 -2 0 -1.659
30 -2 0 -2.002
35 -2 0 -2.182
40 -2 0 -2.314
45 -2 0 -2.358
50 -2 0 -2.258
55 -2 0 -2.196
60 -2 0 -2.181
70 -2 0 -2.12
80 -2 0 -1.992
90 -2 0 -2.145
-20 0 0 1.116
-15 0 0 0.959
-10 0 0 0.692
-5 0 0 0.287
0 0 0 -0.025
5 0 0 -0.367
10 0 0 -0.75
15 0 0 -1.112
20 0 0 -1.418
25 0 0 -1.658
30 0 0 -2.008
35 0 0 -2.2
40 0 0 -2.328
45 0 0 -2.311
50 0 0 -2.326
55 0 0 -2.252
60 0 0 -2.208
70 0 0 -2.134
80 0 0 -2.004
90 0 0 -2.14
-20 2 0 1.156
-15 2 0 0.966
-10 2 0 0.705
-5 2 0 0.286
0 2 0 -0.028
5 2 0 -0.368
10 2 0 -0.75
15 2 0 -1.112
20 2 0 -1.408
25 2 0 -1.66
30 2 0 -2.006
35 2 0 -2.186
40 2 0 -2.355
45 2 0 -2.353
50 2 0 -2.312
55 2 0 -2.235
60 2 0 -2.19
70 2 0 -2.085
80 2 0 -2.019
90 2 0 -2.113
-20 4 0 1.16
-15 4 0 0.964
-10 4 0 0.708
-5 4 0 0.285
0 4 0 -0.028
5 4 0 -0.372
10 4 0 -0.746
15 4 0 -1.108
20 4 0 -1.405
25 4 0 -1.658
30 4 0 -2.001
35 4 0 -2.186
40 4 0 -2.321
45 4 0 -2.35
50 4 0 -2.29
55 4 0 -2.145
60 4 0 -2.094
70 4 0 -2.011
80 4 0 -1.93
90 4 0 -2.107
-20 6 0 1.175
-15 6 0 0.965
-10 6 0 0.71
-5 6 0 0.28
0 6 0 -0.029
5 6 0 -0.368
10 6 0 -0.744
15 6 0 -1.106
20 6 0 -1.403
25 6 0 -1.655
30 6 0 -1.981
35 6 0 -2.174
40 6 0 -2.156
45 6 0 -2.299
50 6 0 -2.277
55 6 0 -2.182
60 6 0 -2.131
70 6 0 -2.108
80 6 0 -2.014
90 6 0 -2.101
-20 8 0 1.172
