alpha beta ele Cm
55 4 0 -0.1053
60 4 0 -0.1437
70 4 0 -0.3199
80 4 0 -0.462
90 4 0 -0.6022
-20 6 0 0.0006
-15 6 0 -0.046
-10 6 0 -0.0576
-5 6 0 -0.0784
0 6 0 -0.0608
5 6 0 -0.0526
10 6 0 -0.048
15 6 0 -0.0432
20 6 0 -0.0426
25 6 0 -0.0526
30 6 0 -0.0542
35 6 0 -0.0729
40 6 0 -0.1252
45 6 0 -0.1168
50 6 0 -0.1201
55 6 0 -0.105
60 6 0 -0.1521
70 6 0 -0.3123
80 6 0 -0.4744
90 6 0 -0.6073
-20 8 0 0.0033
-15 8 0 -0.0393
-10 8 0 -0.05
-5 8 0 -0.0782
0 8 0 -0.0617
5 8 0 -0.0532
10 8 0 -0.049
15 8 0 -0.0447
20 8 0 -0.0532
25 8 0 -0.0539
30 8 0 -0.0612
35 8 0 -0.0747
40 8 0 -0.1071
45 8 0 -0.1209
50 8 0 -0.1277
55 8 0 -0.0988
60 8 0 -0.1459
70 8 0 -0.3385
80 8 0 -0.4792
90 8 0 -0.6281
-20 10 0 0.0177
-15 10 0 -0.0287
-10 10 0 -0.0424
-5 10 0 -0.077
0 10 0 -0.0621
5 10 0 -0.0537
10 10 0 -0.0498
15 10 0 -0.0484
20 10 0 -0.0555
25 10 0 -0.056
30 10 0 -0.068
35 10 0 -0.0804
40 10 0 -0.1116
45 10 0 -0.1243
50 10 0 -0.1222
55 10 0 -0.1
60 10 0 -0.153
70 10 0 -0.3487
80 10 0 -0.4821
90 10 0 -0.6115
-20 15 0 0.055
-15 15 0 0.011
-10 15 0 -0.01
-5 15 0 -0.0572
0 15 0 -0.0606
5 15 0 -0.0545
10 15 0 -0.0534
15 15 0 -0.0536
20 15 0 -0.062
25 15 0 -0.0649
30 15 0 -0.0847
35 15 0 -0.093
40 15 0 -0.1057
45 15 0 -0.1234
50 15 0 -0.122
55 15 0 -0.1076
60 15 0 -0.1709
70 15 0 -0.3486
80 15 0 -0.5022
90 15 0 -0.6209
-20 20 0 0.074
-15 20 0 0.022
-10 20 0 0.018
-5 20 0 -0.04
0 20 0 -0.0587
5 20 0 -0.0564
10 20 0 -0.0555
15 20 0 -0.0609
20 20 0 -0.0705
25 20 0 -0.0761
30 20 0 -0.0849
35 20 0 -0.0974
40 20 0 -0.0979
45 20 0 -0.0897
50 20 0 -0.0852
55 20 0 -0.1152
60 20 0 -0.1741
70 20 0 -0.3445
80 20 0 -0.5242
90 20 0 -0.621
-20 25 0 0.084
-15 25 0 0.031
-10 25 0 0.014
-5 25 0 -0.0251
0 25 0 -0.0484
5 25 0 -0.0619
10 25 0 -0.0619
15 25 0 -0.0715
20 25 0 -0.08
25 25 0 -0.0888
30 25 0 -0.0971
35 25 0 -0.0775
40 25 0 -0.0402
45 25 0 -0.082
50 25 0 -0.0648
55 25 0 -0.0589
60 25 0 -0.1475
