alpha beta ele Cl
80 -8 25 0.0166
90 -8 25 0.0176
-20 -6 25 0.0136
-15 -6 25 0.0076
-10 -6 25 0.0096
-5 -6 25 0.0112
0 -6 25 0.011
5 -6 25 0.0145
10 -6 25 0.0214
15 -6 25 0.0305
20 -6 25 0.0266
25 -6 25 0.0192
30 -6 25 0.012
35 -6 25 -0.0071
40 -6 25 0.0067
45 -6 25 0.013
50 -6 25 0.0143
55 -6 25 0.0145
60 -6 25 0.0128
70 -6 25 0.0134
80 -6 25 0.0162
90 -6 25 0.0161
-20 -4 25 0.0074
-15 -4 25 0.007
-10 -4 25 0.0042
-5 -4 25 0.0082
0 -4 25 0.0063
5 -4 25 0.0106
10 -4 25 0.0152
15 -4 25 0.0215
20 -4 25 0.0195
25 -4 25 0.0154
30 -4 25 0.0072
35 -4 25 0.0016
40 -4 25 0.0014
45 -4 25 0.0154
50 -4 25 0.0095
55 -4 25 0.0125
60 -4 25 0.0069
70 -4 25 0.0116
80 -4 25 0.0078
90 -4 25 0.0112
-20 -2 25 0.0055
-15 -2 25 0.0037
-10 -2 25 0.0016
-5 -2 25 0.004
0 -2 25 0.0031
5 -2 25 0.0072
10 -2 25 0.008
15 -2 25 0.0114
20 -2 25 0.0102
25 -2 25 0.0079
30 -2 25 0.0042
35 -2 25 -0.0053
40 -2 25 0.0016
45 -2 25 0.0104
50 -2 25 0.0054
55 -2 25 0.0114
60 -2 25 0.0038
70 -2 25 0.0068
80 -2 25 0.008
90 -2 25 0.0066
-20 0 25 0.0024
-15 0 25 0.001
-10 0 25 0.0008
-5 0 25 0.0001
0 0 25 0.0005
5 0 25 0.0007
10 0 25 0.0006
15 0 25 0.0002
20 0 25 0.0023
25 0 25 0.0018
30 0 25 0.0011
35 0 25 -0.0069
40 0 25 -0.0039
45 0 25 -0.0011
50 0 25 -0.0008
55 0 25 0.0079
60 0 25 -0.0033
70 0 25 0.0004
80 0 25 0.0028
90 0 25 -0.0004
-20 2 25 -0.0009
-15 2 25 -0.0014
-10 2 25 0.0002
-5 2 25 -0.0034
0 2 25 -0.0024
5 2 25 -0.0054
10 2 25 -0.0061
15 2 25 -0.0108
20 2 25 -0.0079
25 2 25 -0.0059
30 2 25 -0.0027
35 2 25 -0.0073
40 2 25 -0.0093
45 2 25 -0.0032
50 2 25 -0.0055
55 2 25 0.0001
60 2 25 -0.0075
70 2 25 -0.006
80 2 25 0
90 2 25 -0.0012
-20 4 25 -0.0057
-15 4 25 -0.0039
-10 4 25 -0.0043
-5 4 25 -0.007
